Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
com.android.internal.telephony.CallManager.getServiceState();com.android.internal.telephony.Phone;0;0;1;0.9918;753;95;52;1;0;0.9947;175;175;72
com.android.internal.telephony.gsm.SmsCbHeader.getCmasUrgency();android.telephony.SmsCbCmasInfo;2;0;1;0.9545;199;13;16;0;3;1.0000;48;3;46
com.android.internal.telephony.gsm.GSMPhone.disableLocationUpdates();com.android.internal.telephony.ServiceStateTracker;0;0;1;0.9917;1012;106;19;1;0;0.9844;246;38;74
com.android.internal.telephony.PhoneProxy.getDataConnectionState(String);com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
com.android.internal.telephony.gsm.GSMPhone.handlePinMmi(String);com.android.internal.telephony.gsm.GsmMmiCode;0;0;1;0.9919;1012;106;19;3;0;0.9556;839;42;61
com.android.internal.telephony.gsm.SimSmsInterfaceManager.disableCellBroadcastRange(int, int);com.android.internal.telephony.IntRangeManager;1;2;2;0.8636;134;12;14;2;0;0.8667;282;8;2
com.android.internal.telephony.RIL.setMute(boolean, Message);com.android.internal.telephony.RILRequest;1;3;1;0.9892;2581;171;27;2;2;0.7273;68;5;12
com.android.internal.telephony.RIL.responseIccCardStatus(Parcel);com.android.internal.telephony.uicc.IccCardApplicationStatus;2;0;0;1.0000;2581;171;27;0;0;1.0000;192;11;11
com.android.internal.telephony.sip.SipPhone.clearDisconnected();com.android.internal.telephony.sip.SipCallBase;0;0;3;0.9211;238;31;10;1;0;0.9000;17;4;1
com.android.internal.telephony.CallManager.toString();com.android.internal.telephony.Phone;1;7;0;0.9453;753;95;52;5;0;0.9745;175;175;72
com.android.internal.telephony.cdma.CDMAPhone.dispose();com.android.internal.telephony.cdma.RuimSmsInterfaceManager;1;2;9;0.9333;974;127;45;1;0;0.9767;88;10;8
com.android.internal.telephony.uicc.UiccCardApplication.supplyNetworkDepersonalization(String, Message);com.android.internal.telephony.CommandsInterface;0;1;3;0.9516;388;38;29;1;0;0.9954;216;214;44
com.android.internal.telephony.gsm.GSMPhone.onUpdateIccAvailability();com.android.internal.telephony.uicc.UiccCardApplication;2;3;2;0.9683;1012;106;19;0;0;1.0000;388;38;29
com.android.internal.telephony.cat.CommandParamsFactory.processLaunchBrowser(CommandDetails, List<ComprehensionTlv>);com.android.internal.telephony.cat.ValueParser;4;1;5;0.8788;575;21;15;2;0;1.0000;195;10;0
com.android.internal.telephony.PhoneProxy.unregisterForDisplayInfo(Handler);com.android.internal.telephony.Phone;0;0;1;0.9947;658;181;13;1;0;0.9947;175;175;72
