Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
android.support.v4.app.FragmentManagerImpl.dump(String, FileDescriptor, PrintWriter, String[]);android.support.v4.app.BackStackRecord;0;0;13;0.8488;1280;68;37;1;0;0.9841;470;31;26
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.getRemovedCount(Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoJellybeanImpl.isVisibleToUser(Object);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatJellyBean;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.setFocusable(Object, boolean);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.content.AsyncTaskLoader.LoadTask.onPostExecute(D);android.support.v4.content.AsyncTaskLoader;1;0;1;0.8571;28;4;3;1;2;0.9444;133;11;7
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.performAction(Object, int);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.addAction(Object, int);android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NotificationCompat.NotificationCompatImplBase.build(Builder);android.support.v4.app.NotificationCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.TaskStackBuilder.startActivities(Bundle);android.support.v4.content.ContextCompat;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NavUtils.NavUtilsImplJB.getParentActivityIntent(Activity);android.support.v4.app.NavUtilsJB;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NotificationCompat.Style.setBuilder(Builder);android.support.v4.app.NotificationCompat.Builder;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NotificationCompat.Builder.getNotification();android.support.v4.app.NotificationCompat.NotificationCompatImpl;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.makeInactive(Fragment);android.support.v4.app.Fragment;1;0;5;0.9651;1280;68;37;1;1;0.9792;439;56;44
android.support.v4.view.ViewPager.endFakeDrag();android.support.v4.view.VelocityTrackerCompat;0;2;9;0.8103;712;29;36;1;0;1.0000;6;2;1
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.setFullScreen(Object, boolean);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.computeScroll();android.support.v4.view.ViewCompat;0;1;4;0.9492;712;29;36;0;0;1.0000;6;2;1
android.support.v4.app.FragmentManagerImpl.dispatchCreate();android.support.v4.app.Fragment;1;1;1;0.9759;1280;68;37;0;1;1.0000;439;56;44
android.support.v4.view.accessibility.AccessibilityNodeInfoCompat.AccessibilityNodeInfoIcsImpl.obtain();android.support.v4.view.accessibility.AccessibilityNodeInfoCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentStatePagerAdapter.restoreState(Parcelable, ClassLoader);android.support.v4.app.FragmentManager;0;0;4;0.7500;104;8;6;1;0;0.9545;24;20;1
android.support.v4.view.ViewCompat.HCViewCompatImpl.getFrameTime();android.support.v4.view.ViewCompatHC;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.NavUtils.NavUtilsImplBase.getParentActivityName(Context, ActivityInfo);android.support.v4.app.NavUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.moveToState(int, int, int, boolean);android.support.v4.app.FragmentActivity;1;1;4;0.9405;1280;68;37;1;0;0.9778;367;29;16
android.support.v4.view.ViewPager.pageRight();android.support.v4.view.PagerAdapter;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.Fragment.performReallyStop();android.support.v4.app.LoaderManagerImpl;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.ViewPager.infoForChild(View);android.support.v4.view.PagerAdapter;0;0;2;0.9667;712;29;36;1;0;0.9286;19;10;3
android.support.v4.view.ViewPager.PagerObserver.onChanged();android.support.v4.view.ViewPager;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.net.TrafficStatsCompat.IcsTrafficStatsCompatImpl.incrementOperationCount(int, int);android.support.v4.net.TrafficStatsCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsMr1Impl.setMaxScrollY(Object, int);android.support.v4.view.accessibility.AccessibilityRecordCompatIcsMr1;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.PagerTitleStrip.PageListener.onAdapterChanged(PagerAdapter, PagerAdapter);android.support.v4.view.PagerTitleStrip;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.setParcelableData(Object, Parcelable);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
android.support.v4.app.FragmentManagerImpl.execPendingActions();android.support.v4.app.LoaderManagerImpl;1;0;5;0.9405;1280;68;37;0;0;1.0000;234;16;9
android.support.v4.view.accessibility.AccessibilityRecordCompat.AccessibilityRecordIcsImpl.isPassword(Object);android.support.v4.view.accessibility.AccessibilityRecordCompatIcs;0;0;0;0;0;0;0;0;0;0;0;0;0
