Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.argouml.uml.ui.foundation.core.UMLDiagramNameDocument.getProperty();org.argouml.kernel.Project;1;0;0;1.0000;20;2;0;0;1;0.9855;587;44;23
org.argouml.uml.diagram.UmlDiagramRenderer.getFigEdgeFor(Object, Map);org.argouml.util.CollectionUtil;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.ui.behavior.state_machines.UMLSignalEventSignalList.getPopupMenu();org.argouml.uml.ui.behavior.state_machines.ActionAddSignalsToSignalEvent;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.static_structure.ui.FigClass.setAttributesVisible(boolean);org.argouml.uml.diagram.ui.FigFeaturesCompartment;0;3;0;0.9143;674;30;5;0;0;1.0000;11;0;1
org.argouml.uml.cognitive.critics.CrReservedName.isBuiltin(String);org.argouml.kernel.ProjectManager;0;0;0;1.0000;44;5;2;2;0;0.9286;70;10;8
org.argouml.persistence.ArgoParser.handleAuthorname(XMLElement);org.argouml.kernel.Project;1;0;1;0.9444;111;12;5;0;1;0.9857;587;44;23
org.argouml.application.api.Configuration.setDouble(ConfigurationKey, double);org.argouml.application.configuration.ConfigurationHandler;0;0;1;1.0000;89;28;5;1;0;0.9737;184;31;7
org.argouml.persistence.UmlFilePersister.getMemberFilePersister(ProjectMember);org.argouml.persistence.PersistenceManager;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.cognitive.critics.CrSubclassReference.computeOffenders(Object);org.argouml.cognitive.ListSet;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.cognitive.ui.ToDoByType.toDoItemsChanged(ToDoListEvent);org.argouml.cognitive.Designer;3;0;1;1.0000;90;4;1;0;2;0.9859;353;51;33
org.argouml.application.api.Argo.getPlugins(Class, Object[]);org.argouml.application.modules.ModuleLoader;0;0;0;1.0000;29;9;34;2;0;0.9583;427;24;8
org.argouml.uml.ui.ActionAddTopLevelPackage.actionPerformed(ActionEvent);org.argouml.kernel.Project;6;0;0;1.0000;13;1;1;1;1;0.9714;587;44;23
org.argouml.uml.notation.java.InitNotationJava.init();org.argouml.notation.Notation;0;0;0;0;0;0;0;0;0;0;0;0;0
org.argouml.uml.diagram.sequence.ui.FigClassifierRole.setMatchingNode(FigMessagePort);org.argouml.uml.diagram.sequence.MessageNode;0;0;0;0;0;0;0;0;0;0;0;0;0
