Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.gjt.sp.jedit.msg.RegisterChanged;0;0;0;0;0;0;0
bsh.reflect.ReflectManagerImpl;7;1;0;0.0000;0;0.0;2
bsh.Primitive;449;25;3;0.8968;1;34.0;230
com.loomcom.ant.tasks.jarbundler.AppBundleProperties;0;0;0;0;0;0;0
org.gjt.sp.jedit.textarea.FirstLine;0;0;0;0;0;0;0
gnu.regexp.CharUnit;0;0;2;0.0000;0;0.0;0
org.gjt.sp.jedit.GUIUtilities;481;47;7;1.0122;1;8.0;174
org.gjt.sp.jedit.io.FavoritesVFS;62;8;4;0.5938;1;1.0;17
org.gjt.sp.jedit.gui.CheckBoxListModel;59;8;1;0.4444;0;3.0;21
bsh.UtilTargetError;0;0;0;0;0;0;0
org.gjt.sp.jedit.options.BrowserColorsModel;73;10;1;0.4000;0;0.0;23
bsh.JThis;281;85;0;0.0000;0;1.0;92
org.objectweb.asm.CodeWriter;0;0;0;0;0;0;0
bsh.BshClassManager;78;24;6;0.9638;0;0.0;38
org.gjt.sp.jedit.buffer.ContentManager;84;9;4;0.2222;0;0.0;20
org.gjt.sp.jedit.msg.SearchSettingsChanged;3;0;0;0.0000;0;0.0;1
org.gjt.sp.jedit.textarea.TextAreaExtension;7;3;0;0.0000;0;0.0;3
installer.OperatingSystem;19;4;1;1.0000;0;0.0;9
org.gjt.sp.jedit.search.HyperSearchNode;0;0;0;0;0;0;0
bsh.BlockNameSpace;25;6;1;0.8571;0;0.0;10
bsh.BSHImportDeclaration;13;1;2;1.0000;0;2.0;4
gnu.regexp.REException;20;1;15;1.2222;0;0.0;4
macos.MacOSPlugin;46;5;3;0.6667;0;2.0;16
org.gjt.sp.jedit.gui.EnhancedDialog;18;3;1;1.0000;0;0.0;5
macos.script.ScriptFilter;5;1;0;0.0000;0;0.0;3
org.gjt.sp.jedit.gui.TipOfTheDay;63;3;5;0.9333;0;2.0;9
org.gjt.sp.util.WorkRequest;16;4;0;0.0000;0;0.0;8
org.gjt.sp.util.CharIndexedSegment;23;4;3;0.1333;0;1.0;12
org.gjt.sp.jedit.buffer.BufferChangeListener;5;5;0;0.0000;0;0.0;5
bsh.ConsoleInterface;6;6;0;0.0000;0;0.0;6
org.gjt.sp.jedit.gui.LogViewer;43;2;4;0.6250;0;2.0;5
org.gjt.sp.jedit.textarea.JEditTextArea;2453;191;57;0.9624;1;31.0;787
org.objectweb.asm.ClassWriter;0;0;0;0;0;0;0
org.gjt.sp.jedit.msg.DynamicMenuChanged;0;0;0;0;0;0;0
org.gjt.sp.jedit.help.HelpViewer;117;2;9;0.8444;0;2.0;17
org.gjt.sp.jedit.proto.jeditresource.Handler;5;1;0;0.0000;0;0.0;1
org.gjt.sp.jedit.textarea.ScrollLineCount;0;0;0;0;0;0;0
