Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.tools.ant.taskdefs.optional.jdepend.JDependTask.createJvmarg(CommandlineJava);org.apache.tools.ant.types.CommandlineJava;0;0;0;1.0000;244;12;14;1;0;0.9714;194;25;9
org.apache.tools.ant.types.XMLCatalog.ExternalResolver.processExternalCatalogs();org.apache.tools.ant.types.XMLCatalog;2;0;4;0.6667;113;3;6;0;1;0.9677;312;20;7
org.apache.tools.ant.Project.copyInheritedProperties(Project);org.apache.tools.ant.PropertyHelper;0;0;0;1.0000;672;82;32;2;0;0.9500;231;16;5
org.apache.tools.ant.launch.Launcher.run(String[]);org.apache.tools.ant.launch.Locator;0;0;3;1.0000;98;2;3;4;0;1.0000;125;6;0
org.apache.tools.ant.UnknownElement.handleChild(String, IntrospectionHelper, Object, UnknownElement, RuntimeConfigurable);org.apache.tools.ant.IntrospectionHelper.Creator;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.AntClassLoader.setThreadContextLoader();org.apache.tools.ant.Project;0;0;3;0.9434;478;39;14;1;0;0.9899;672;82;32
org.apache.tools.ant.taskdefs.optional.dotnet.ImportTypelib.execute();org.apache.tools.ant.taskdefs.optional.dotnet.NetCommand;2;2;6;0.3846;72;3;6;3;1;0.8400;95;7;8
org.apache.tools.ant.taskdefs.optional.net.FTP.sendFile(FTPClient, String, String);org.apache.tools.ant.Project;1;4;7;0.7755;613;22;36;1;2;0.9909;672;82;32
org.apache.tools.ant.taskdefs.optional.Native2Ascii.setImplementation(String);org.apache.tools.ant.util.facade.FacadeTaskHelper;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.MatchingTask.addDate(DateSelector);org.apache.tools.ant.types.AbstractFileSet;0;0;1;0.9756;143;40;1;1;0;0.9828;346;48;7
org.apache.tools.ant.taskdefs.optional.ccm.Continuus.run(Commandline, ExecuteStreamHandler);org.apache.tools.ant.Project;1;0;0;1.0000;32;4;8;1;0;0.9903;672;82;32
org.apache.tools.ant.taskdefs.Tar.check(ResourceCollection);org.apache.tools.ant.taskdefs.Copy;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.Property.setClasspathRef(Reference);org.apache.tools.ant.types.Path;0;1;0;0.9667;305;16;11;1;0;0.9600;368;27;2
org.apache.tools.ant.taskdefs.Zip.getResourcesToAdd(FileSet[], File, boolean);org.apache.tools.ant.types.Resource;2;5;5;0.8596;621;25;23;0;1;0.9677;53;3;4
org.apache.tools.ant.types.selectors.ContainsRegexpSelector.isSelected(File, String, File);org.apache.tools.ant.types.RegularExpression;0;0;3;0.7500;67;4;4;2;0;0.8333;33;4;3
org.apache.tools.ant.taskdefs.optional.vss.MSVSSCHECKOUT.buildCmdLine();org.apache.tools.ant.taskdefs.optional.vss.MSVSSConstants;1;0;0;1.0000;46;10;0;0;1;0.9839;0;0;48
org.apache.tools.ant.taskdefs.optional.javah.SunJavah.setupJavahCommand(Javah);org.apache.tools.ant.types.Path;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.filters.util.ChainReaderHelper.setProjectOnObject(Object);org.apache.tools.ant.Project;1;0;1;0.8750;111;3;5;1;0;0.9898;672;82;32
org.apache.tools.ant.filters.TokenFilter.ContainsRegex.filter(String);org.apache.tools.ant.util.regexp.RegexpMatcher;0;1;3;0.7143;36;2;9;1;0;0.9412;6;6;4
org.apache.tools.ant.taskdefs.Javadoc.addArgIf(boolean, String);org.apache.tools.ant.types.Commandline.Argument;0;0;1;0.9908;803;78;33;1;0;0.8750;23;5;1
org.apache.tools.ant.taskdefs.Javadoc.parsePackages(Vector, Path);org.apache.tools.ant.types.resources.Union;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.ResourceCount.eval();org.apache.tools.ant.types.Comparison;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.EchoXML.execute();org.apache.tools.ant.util.FileUtils;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.DirectoryScanner.checkIncludePatterns();org.apache.tools.ant.types.selectors.SelectorUtils;0;7;6;0.7885;549;43;22;1;0;1.0000;365;14;1
org.apache.tools.ant.taskdefs.optional.junit.XMLResultAggregator.getDestinationFile();org.apache.tools.ant.Project;0;0;4;0.8462;128;9;6;1;0;0.9899;672;82;32
org.apache.tools.ant.taskdefs.rmic.KaffeRmic.execute();org.apache.tools.ant.types.Commandline.Argument;2;0;0;1.0000;23;1;0;0;0;1.0000;23;5;1
org.apache.tools.ant.NoBannerLogger.messageLogged(BuildEvent);org.apache.tools.ant.util.StringUtils;2;0;1;0.8889;18;3;1;0;1;1.0000;34;4;1
org.apache.tools.ant.types.resources.comparators.Exists.resourceCompare(Resource, Resource);org.apache.tools.ant.types.Resource;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.FixCRLF.execute();org.apache.tools.ant.filters.FixCrLfFilter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.script.ScriptDefBase.setDynamicAttribute(String, String);org.apache.tools.ant.taskdefs.optional.script.ScriptDef;0;1;1;0.7143;32;4;2;1;0;0.9444;118;9;6
org.apache.tools.ant.types.FileSet.iterator();org.apache.tools.ant.DirectoryScanner;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.sos.SOS.setLocalPath(Path);org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.types.optional.AbstractScriptComponent.initScriptRunner();org.apache.tools.ant.util.ScriptRunner;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.types.selectors.modifiedselector.ModifiedSelector.verifySettings();org.apache.tools.ant.types.selectors.modifiedselector.Cache;0;1;2;0.8696;215;9;11;1;0;0.9167;7;7;0
org.apache.tools.bzip2.CBZip2InputStream.setupNoRandPartC();org.apache.tools.bzip2.CRC;0;1;9;0.8571;640;31;45;1;0;0.9286;22;3;2
org.apache.tools.ant.ComponentHelper.invalidateCreatedTasks(String);org.apache.tools.ant.Task;0;0;1;0.9744;380;28;11;1;0;0.9615;143;16;8
org.apache.tools.ant.taskdefs.optional.Native2Ascii.convert(String, String);org.apache.tools.ant.taskdefs.optional.native2ascii.Native2AsciiAdapterFactory;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.filters.BaseFilterReader.readFully();org.apache.tools.ant.util.FileUtils;0;0;1;1.0000;67;4;3;1;0;1.0000;584;34;8
org.apache.tools.ant.taskdefs.Java.log(Throwable);org.apache.tools.ant.Project;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.SchemaValidate.enableXercesSchemaValidation();org.apache.tools.ant.BuildException;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.SQLExec.setDelimiterType(DelimiterType);org.apache.tools.ant.types.EnumeratedAttribute;1;0;1;0.9615;269;8;18;0;1;0.8889;35;5;2
org.apache.tools.ant.types.Commandline.Marker.getPosition();org.apache.tools.ant.types.Commandline.Argument;2;0;2;0.6000;13;1;2;0;1;0.9000;23;5;1
org.apache.tools.ant.taskdefs.compilers.Kjc.setupKjcCommand();org.apache.tools.ant.types.resources.BaseResourceCollectionContainer;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tools.ant.taskdefs.optional.javacc.JJDoc.execute();org.apache.tools.ant.types.Commandline.Argument;3;1;7;0.7083;88;4;11;1;0;0.9615;23;5;1
org.apache.tools.ant.taskdefs.optional.j2ee.ServerDeploy.addGeneric(GenericHotDeploymentTool);org.apache.tools.ant.taskdefs.optional.j2ee.GenericHotDeploymentTool;0;0;1;0.8571;31;4;3;1;0;0.8889;35;6;3
org.apache.tools.ant.taskdefs.Ant.init();org.apache.tools.ant.Project;1;0;1;0.9667;314;17;11;1;1;0.9796;672;82;32
org.apache.tools.ant.taskdefs.optional.clearcase.CCUnlock.checkOptions(Commandline);org.apache.tools.ant.types.Commandline;0;2;1;0.6667;67;5;6;1;0;0.9583;234;24;3
