Learning rate;Beta;Layers;Dropout;F-mesure
0.0194015340229;0.612865077487;[78, 71];1.0;0.033066496
0.0898790319493;0.108584512488;[93, 28, 21];1.0;0.033066496
0.364416105413;0.253538666861;[15, 15];1.0;0.033066496
0.404608394711;0.851694002273;[115, 11, 4];0.5;0.033066496
0.11917759888;0.311364475734;[82, 15, 7];0.5;0.033066496
0.510354866081;0.335804914302;[109, 77];0.5;0.033066496
0.0433685875114;0.143123731541;[38, 5, 5];0.5;0.033066496
0.0238315064681;0.277072362212;[35, 21];0.5;0.033066496
0.00384543430081;0.892636406341;[49, 28, 17];1.0;0.033066496
0.0840712328112;0.168193276126;[88, 48, 11];0.5;0.033066496
0.0551840176785;0.854792051845;[127, 87, 30];1.0;0.033066496
0.0934833116298;0.963436342303;[83, 78];0.5;0.033066496
0.129124294682;0.938239353385;[6, 5, 4];0.5;0.033066496
0.0303709125412;0.895285362223;[78, 30, 5];1.0;0.033066496
0.0182040100146;0.310768857885;[113, 58];0.5;0.033066496
0.426875660145;0.103619400616;[35, 33];1.0;0.033066496
0.0898606744994;0.725278310388;[122, 40];1.0;0.033066496
0.908397035254;0.0783454603626;[56, 11];0.5;0.033066496
0.0459076988281;0.234525282176;[17, 5];1.0;0.033066496
0.16813500144;0.397576033188;[17, 5];0.5;0.033066496
0.00732673176744;0.361698986489;[117, 106, 51];1.0;0.033066496
0.292576718731;0.989159135554;[28, 22, 21];0.5;0.033066496
0.0100555421233;0.587434588803;[97, 95, 48];0.5;0.033066496
0.543761744698;0.277543882618;[81, 12, 7];0.5;0.033066496
0.387847197586;0.930423080222;[78, 76, 9];0.5;0.033066496
0.540480981668;0.700372092671;[126, 27];1.0;0.033066496
0.017685213123;0.706448669468;[92, 6];0.5;0.033066496
0.386327555898;0.108290317733;[52, 48, 16];0.5;0.033066496
0.23821534809;0.205770734075;[25, 12];1.0;0.033066496
0.117207735594;0.25903597325;[105, 94, 43];1.0;0.033066496
0.00794676143749;0.702531234046;[104, 65];0.5;0.033066496
0.0829499864765;0.205804353882;[46, 22, 12];1.0;0.033066496
0.0103676953869;0.234276957049;[117, 28, 10];0.5;0.022083157673478127
0.0653645534926;0.0576807632921;[53, 30, 5];0.5;0.01824284391477704
0.0173758998481;0.182982876019;[54, 7];1.0;0.0146366604603827
0.964253864357;0.00325838784635;[93, 25, 6];1.0;0.0
