Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.catalina.startup.Tomcat.addServlet(String, String, String);org.apache.catalina.Container;0;2;0;0.9677;218;21;14;0;0;1.0000;34;34;6
org.apache.catalina.valves.CometConnectionManagerValve.sessionDestroyed(HttpSessionEvent);org.apache.tomcat.util.res.StringManager;4;0;2;0.9167;146;11;6;0;0;1.0000;36;3;3
org.apache.catalina.tribes.transport.ReceiverBase.TaskThreadFactory.newThread(Runnable);org.apache.catalina.tribes.transport.ReceiverBase;1;0;3;0.4000;11;1;3;0;1;0.9821;325;21;33
org.apache.tomcat.util.net.AprEndpoint.init();org.apache.tomcat.jni.SSLContext;7;0;29;0.6543;639;29;59;7;0;1.0000;14;14;0
org.apache.juli.ClassLoaderLogManager.LogNode.setParentLogger(Logger);org.apache.juli.ClassLoaderLogManager;0;1;2;0.7143;52;3;3;1;0;1.0000;272;11;2
org.apache.catalina.connector.Response.recycle();org.apache.catalina.connector.CoyoteWriter;2;0;11;0.8804;578;70;19;2;0;0.9556;141;28;3
org.apache.catalina.session.StandardSession.expire(boolean);org.apache.catalina.Container;2;5;7;0.8837;551;58;24;1;0;0.9815;34;34;6
org.apache.catalina.manager.ManagerServlet.stop(PrintWriter, String);org.apache.catalina.util.RequestUtil;1;0;4;0.9348;913;34;13;1;0;1.0000;183;13;1
org.apache.jasper.compiler.ELFunctionMapper.ELFunctionVisitor.visit(Node.PlugIn);org.apache.jasper.compiler.Node.PlugIn;2;0;0;1.0000;151;14;1;0;2;0.6667;21;1;2
org.apache.catalina.connector.MapperListener.containerEvent(ContainerEvent);org.apache.catalina.Lifecycle;1;0;1;0.9500;300;10;6;0;0;1.0000;5;5;9
org.apache.coyote.ajp.AjpAprProtocol.AjpConnectionHandler.unregister(AjpAprProcessor);org.apache.juli.logging.Log;4;0;1;0.9412;86;5;4;3;0;0.8800;18;18;0
org.apache.jasper.compiler.TagFileProcessor.parseTagFileDirectives(ParserController, String, String, JarResource, TagLibraryInfo);org.apache.jasper.compiler.ErrorDispatcher;2;0;0;1.0000;96;5;1;1;0;0.9630;158;22;2
org.apache.jasper.compiler.Generator.generateLocalVariables(ServletWriter, Node);org.apache.jasper.compiler.Node.NamedAttribute;4;0;0;1.0000;781;28;16;0;1;0.9444;65;3;6
org.apache.catalina.startup.ContextConfig.processContextConfig(URL);org.apache.juli.logging.Log;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.connector.Response.getHeaderNames();org.apache.tomcat.util.http.MimeHeaders;2;0;1;0.9890;578;70;19;1;1;0.9167;129;18;3
org.apache.catalina.core.ApplicationContextFacade.addServlet(String, Servlet);org.apache.catalina.security.SecurityUtil;0;1;1;0.9592;426;46;3;1;0;1.0000;146;11;17
org.apache.jasper.compiler.Validator.DirectiveVisitor.comparePageEncodings(String, Node.PageDirective);org.apache.jasper.compiler.ErrorDispatcher;1;0;1;0.9412;214;7;4;1;0;0.9643;158;22;2
org.apache.tomcat.util.net.JIoEndpoint.Acceptor.run();org.apache.tomcat.util.net.ServerSocketFactory;1;0;0;1.0000;28;1;0;2;0;0.8824;23;8;2
org.apache.catalina.startup.Embedded.createHost(String, String);org.apache.catalina.core.StandardHost;0;0;1;1.0000;372;34;11;2;0;0.9636;295;35;19
org.apache.catalina.tribes.membership.McastService.setDomain(byte[]);org.apache.catalina.tribes.membership.McastServiceImpl;0;0;4;0.9545;345;53;13;1;0;0.9773;308;12;27
org.apache.catalina.core.StandardService.addExecutor(Executor);org.apache.catalina.Lifecycle;0;0;3;0.9556;314;29;18;1;0;0.8750;5;5;9
org.apache.jasper.compiler.Generator.generateInit();org.apache.jasper.compiler.ServletWriter;1;0;6;0.9091;781;28;16;7;0;0.6818;65;13;6
org.apache.catalina.core.ApplicationJspPropertyGroupDescriptor.getIncludePreludes();org.apache.catalina.deploy.JspPropertyGroup;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.coyote.http11.Http11AprProtocol.getAddress();org.apache.tomcat.util.net.AbstractEndpoint;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.jasper.compiler.Validator.ValidateVisitor.checkXmlAttributes(Node.CustomTag, Node.JspAttribute[], Hashtable<String,Object>);org.apache.jasper.compiler.ErrorDispatcher;8;1;3;0.9344;710;36;19;4;0;0.9024;158;22;2
org.apache.catalina.connector.Request.setAttribute(String, Object);org.apache.tomcat.util.res.StringManager;2;2;7;0.9548;1084;128;51;0;0;1.0000;36;3;3
org.apache.catalina.mbeans.GroupMBean.removeRole(String);org.apache.catalina.UserDatabase;0;0;0;1.0000;63;4;3;1;0;0.9474;16;16;0
org.apache.catalina.servlets.DefaultServlet.checkIfModifiedSince(HttpServletRequest, HttpServletResponse, ResourceAttributes);org.apache.naming.resources.ResourceAttributes;0;0;0;1.0000;994;37;18;2;0;0.9535;515;30;30
org.apache.tomcat.util.net.AprEndpoint.Sendfile.run();org.apache.tomcat.util.net.AprEndpoint;5;3;5;0.6923;187;5;6;1;6;0.9500;639;29;59
org.apache.catalina.connector.MapperListener.unregisterHost(Host);org.apache.catalina.Host;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.ha.deploy.FarmWarDeployer.messageReceived(ClusterMessage);org.apache.catalina.ha.deploy.FileMessageFactory;3;7;2;0.8462;376;28;17;1;1;0.9375;128;6;14
org.apache.catalina.authenticator.DigestAuthenticator.authenticate(Request, HttpServletResponse, LoginConfig);org.apache.juli.logging.Log;1;4;1;0.8235;123;8;5;2;0;0.9333;18;18;0
org.apache.catalina.connector.Request.getRemoteHost();org.apache.catalina.connector.Connector;2;1;3;0.9773;1084;128;51;1;0;0.9899;419;58;36
org.apache.catalina.core.StandardContext.findMessageDestinationRef(String);org.apache.catalina.deploy.NamingResources;0;0;1;0.9968;2385;204;107;1;0;0.9800;342;36;12
org.apache.coyote.http11.AbstractHttp11Protocol.getAllowUnsafeLegacyRenegotiation();org.apache.tomcat.util.net.AbstractEndpoint;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.coyote.http11.filters.BufferedInputFilter.doRead(ByteChunk, Request);org.apache.tomcat.util.buf.ByteChunk;1;0;2;0.8462;49;6;6;3;1;0.9184;425;43;10
org.apache.catalina.startup.HostConfig.manageApp(Context);org.apache.catalina.Context;0;2;3;0.8980;761;35;15;2;0;0.9848;125;125;1
org.apache.catalina.tribes.group.interceptors.NonBlockingCoordinator.startElection(boolean);org.apache.catalina.tribes.membership.MemberImpl;1;5;8;0.7547;352;38;14;1;0;0.9821;300;29;19
org.apache.catalina.loader.WebappClassLoader.clearReferencesThreadLocals();org.apache.juli.logging.Log;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tomcat.util.net.AprEndpoint.Sendfile.init();org.apache.tomcat.util.net.SocketProperties;1;0;5;0.6667;187;5;6;0;0;1.0000;156;28;22
org.apache.catalina.connector.RequestFacade.getProtocol();org.apache.catalina.connector.Request;1;0;2;0.9865;462;73;2;1;0;0.9943;1084;128;51
org.apache.catalina.mbeans.MBeanUtils.createMBean(ContextResource);org.apache.tomcat.util.modeler.Registry;0;2;2;1.0000;699;52;5;1;0;0.9773;446;36;10
org.apache.catalina.authenticator.AuthenticatorBase.setContainer(Container);org.apache.tomcat.util.res.StringManager;1;0;2;0.9688;286;20;18;0;0;1.0000;36;3;3
org.apache.catalina.servlets.CGIServlet.CGIEnvironment.toString();org.apache.catalina.servlets.CGIServlet;1;2;5;0.6667;305;9;11;0;1;0.9333;195;5;6
org.apache.catalina.core.StandardServer.initInternal();org.apache.catalina.Lifecycle;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tomcat.util.http.fileupload.FileUploadBase.getFileName(FileItemHeaders);org.apache.tomcat.util.http.fileupload.FileItemHeaders;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.core.ApplicationDispatcher.doForward(ServletRequest, ServletResponse);org.apache.tomcat.util.res.StringManager;3;4;7;0.7143;419;14;10;0;0;1.0000;36;3;3
org.apache.tomcat.util.net.JIoEndpoint.setSocketOptions(Socket);org.apache.tomcat.util.net.ServerSocketFactory;0;0;4;0.9400;322;24;26;1;0;0.9412;23;8;2
org.apache.coyote.http11.Http11AprProcessor.action(ActionCode, Object);org.apache.coyote.Response;9;1;18;0.8068;938;28;36;0;2;0.9744;250;19;18
org.apache.jasper.compiler.TagFileProcessor.TagFileLoaderVisitor.visit(Node.CustomTag);org.apache.jasper.compiler.JarResource;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.ha.deploy.FarmWarDeployer.stop();org.apache.catalina.ha.CatalinaCluster;0;0;5;0.9149;376;28;17;1;0;0.9643;20;20;1
org.apache.el.MethodExpressionImpl.invoke(ELContext, Object[]);org.apache.el.parser.Node;0;1;3;0.7500;56;8;6;1;0;0.9474;15;15;0
org.apache.catalina.session.StandardSession.getCreationTime();org.apache.tomcat.util.res.StringManager;1;1;2;0.9733;551;58;24;0;0;1.0000;36;3;3
org.apache.jasper.JspCompilationContext.keepGenerated();org.apache.jasper.Options;0;0;1;0.9836;420;31;31;1;0;0.9655;28;28;0
org.apache.jasper.compiler.Parser.parseNamedAttributes(Node);org.apache.jasper.compiler.Node;3;3;2;0.9315;1204;56;14;0;1;0.9750;170;7;15
org.apache.catalina.connector.CoyoteAdapter.asyncDispatch(org.apache.coyote.Request, org.apache.coyote.Response, SocketStatus);org.apache.coyote.Response;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.tomcat.util.net.JIoEndpoint.AsyncTimeout.run();org.apache.tomcat.util.net.JIoEndpoint;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.jasper.xmlparser.XMLEncodingDetector.scanPIData(String, XMLString);org.apache.jasper.xmlparser.XMLChar;0;6;2;0.8431;798;23;29;2;0;1.0000;115;21;9
org.apache.jasper.compiler.TagFileProcessor.TagFileDirectiveVisitor.checkUniqueName(String, String, Node, TagAttributeInfo);org.apache.jasper.compiler.Node;2;0;5;0.8966;213;8;24;0;1;0.9706;170;7;15
org.apache.catalina.core.ApplicationContext.addFilter(String, String, Filter);org.apache.catalina.core.StandardContext;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.tribes.group.ChannelInterceptorBase.getMember(Member);org.apache.catalina.tribes.ChannelInterceptor;0;0;1;0.9444;66;14;4;1;0;0.9412;16;16;0
org.apache.el.parser.ELParserTokenManager.jjFillToken();org.apache.el.parser.SimpleCharStream;1;0;3;0.9615;1035;33;25;5;0;0.9107;257;26;16
org.apache.catalina.tribes.tipis.AbstractReplicatedMap.ping(long);org.apache.catalina.tribes.Channel;2;2;6;0.8824;740;50;17;2;0;0.9200;15;15;13
org.apache.el.parser.ELParser.Null();org.apache.el.parser.ELParserTreeConstants;2;1;1;0.9852;2195;111;22;0;1;0.9744;0;0;34
org.apache.catalina.core.ApplicationFilterConfig.getServletContext();org.apache.catalina.Context;0;0;1;0.9333;121;10;5;1;0;0.9921;125;125;1
org.apache.catalina.core.StandardContext.setName(String);org.apache.catalina.util.URLEncoder;0;0;2;0.9968;2385;204;107;1;0;0.8333;54;2;2
org.apache.catalina.authenticator.BasicAuthenticator.authenticate(Request, HttpServletResponse, LoginConfig);org.apache.tomcat.util.buf.CharChunk;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.startup.ContextConfig.processAnnotationWebInitParams(ElementValue);org.apache.tomcat.util.bcel.classfile.ArrayElementValue;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.catalina.tribes.group.ChannelCoordinator.hasMembers();org.apache.catalina.tribes.MembershipService;0;0;1;0.9545;164;15;5;1;0;0.9444;17;17;2
org.apache.coyote.ajp.AjpAprProcessor.process(long);org.apache.tomcat.util.net.AprEndpoint.Poller;5;4;14;0.7115;616;13;30;1;0;0.9744;168;4;7
org.apache.jasper.tagplugins.jstl.core.Param.doTag(TagPluginContext);org.apache.jasper.compiler.tagplugin.TagPluginContext;0;0;0;1.0000;33;1;0;4;0;0.7143;14;14;0
org.apache.coyote.ajp.AjpAprProcessor.SocketOutputBuffer.doWrite(ByteChunk, Response);org.apache.tomcat.util.buf.ByteChunk;4;0;0;1.0000;32;1;0;2;1;0.9444;425;43;10
org.apache.catalina.core.StandardContext.resourcesStop();org.apache.tomcat.util.res.StringManager;1;2;3;0.9873;2385;204;107;0;0;1.0000;36;3;3
org.apache.catalina.valves.JDBCAccessLogValve.log(Request, Response, long);org.apache.catalina.connector.Request;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.coyote.Request.action(ActionCode, Object);org.apache.coyote.ActionHook;1;0;2;0.9623;219;17;34;1;0;0.7500;1;1;0
org.apache.tomcat.util.digester.Digester.pop();org.apache.juli.logging.Log;0;0;2;0.9851;849;103;29;1;0;0.9524;18;18;0
org.apache.tomcat.util.bcel.classfile.Method.hashCode();org.apache.tomcat.util.bcel.util.BCELComparator;0;0;0;0;0;0;0;0;0;0;0;0;0
