Class;LOC;NMD;NAD;LCOM5;NADC;ATFD;WMC
org.apache.xerces.impl.xs.traversers.XSDWildcardTraverser;51;3;0;0.0000;2;15.0;10
org.apache.xerces.impl.dv.dtd.ListDatatypeValidator;13;1;1;0.0000;0;0.0;4
org.apache.xerces.impl.xs.XSModelImpl;165;12;10;0.8167;0;16.0;61
org.apache.xerces.impl.xs.opti.TextImpl;0;0;0;0;0;0;0
org.apache.xerces.impl.dtd.XMLNotationDecl;12;2;4;0.0000;0;0.0;2
org.apache.xerces.impl.dtd.models.CMStateSet;128;11;5;0.2364;0;0.0;43
org.apache.xerces.dom.DOMConfigurationImpl;0;0;0;0;0;0;0
org.apache.wml.dom.WMLTrElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.jaxp.JAXPValidatorComponent;0;0;0;0;0;0;0
org.apache.wml.dom.WMLStrongElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xml.serialize.SerializerFactoryImpl;42;4;1;0.6000;0;4.0;14
org.apache.xerces.xni.parser.XMLDTDContentModelFilter;0;0;0;0.0000;0;0.0;0
org.apache.xerces.impl.dv.xs.EntityDV;14;3;0;0.0000;0;6.0;5
org.apache.html.dom.HTMLHRElementImpl;27;8;0;0.0000;0;0.0;9
org.apache.wml.WMLPostfieldElement;4;4;0;0.0000;0;0.0;4
org.apache.xerces.xs.PSVIProvider;3;3;0;0.0000;0;0.0;3
org.apache.xerces.dom.LCount;5;1;4;0.0000;0;0.0;2
org.apache.xerces.jaxp.validation.DOMResultAugmentor;0;0;0;0;0;0;0
org.apache.xerces.dom.PSVIDOMImplementationImpl;0;0;0;0;0;0;0
org.apache.xerces.xs.XSObject;4;4;0;0.0000;0;0.0;4
org.apache.wml.dom.WMLUElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.impl.dtd.XMLEntityDecl;23;3;8;0.5000;0;0.0;3
org.apache.xerces.dom.CoreDOMImplementationImpl;69;9;3;0.9333;0;6.0;22
org.apache.xerces.xni.grammars.XSGrammar;0;0;0;0;0;0;0
org.apache.xerces.parsers.IntegratedParserConfiguration;0;0;0;0;0;0;0
org.apache.html.dom.HTMLDOMImplementationImpl;12;1;1;1.0000;0;1.0;4
org.apache.html.dom.SecuritySupport;34;9;1;1.0000;0;0.0;10
org.apache.wml.dom.WMLBElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.parsers.ObjectFactory;215;7;4;0.8750;0;0.0;53
org.apache.wml.dom.WMLTableElementImpl;39;12;0;0.0000;0;0.0;13
org.apache.wml.WMLPElement;6;6;0;0.0000;0;0.0;6
org.apache.xerces.impl.dv.SchemaDVFactory;31;7;3;0.9048;0;0.0;15
org.apache.html.dom.HTMLTableRowElementImpl;121;19;1;1.0000;0;4.0;41
org.apache.xerces.util.SymbolHash;59;6;3;0.3333;0;0.0;19
org.apache.html.dom.HTMLButtonElementImpl;45;11;0;0.0000;0;0.0;17
org.apache.xerces.xni.parser.XMLConfigurationException;16;0;4;0.8333;0;0.0;4
org.apache.html.dom.HTMLModElementImpl;15;4;0;0.0000;0;0.0;5
org.apache.xerces.dom.DeferredElementDefinitionImpl;26;2;2;0.6667;0;1.0;5
org.apache.xerces.impl.XML11NSDocumentScannerImpl;0;0;0;0;0;0;0
org.apache.xerces.parsers.AbstractDOMParser;1011;42;44;0.8988;1;43.0;269
org.apache.xerces.impl.dv.xs.DoubleDV;44;5;0;0.0000;0;7.0;14
org.apache.html.dom.HTMLDListElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.xerces.parsers.SAXParser;21;0;5;1.0000;0;0.0;6
org.apache.xerces.xs.ShortList;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDAbstractParticleTraverser;130;5;1;0.8000;2;26.0;28
org.apache.xerces.dom3.as.ASDataType;1;1;46;0.0000;0;0.0;1
org.apache.xerces.dom.ElementImpl;354;32;3;0.7879;0;15.0;117
org.apache.xerces.impl.dv.xs.HexBinaryDV;8;2;0;0.0000;0;6.0;3
org.apache.xerces.xni.parser.XMLInputSource;60;0;6;0.7556;0;0.0;16
org.apache.xerces.dom.ASModelImpl;121;34;3;0.9402;0;1.0;40
org.apache.xerces.xni.parser.XMLComponentManager;2;2;0;0.0000;0;0.0;2
org.apache.xerces.impl.xs.models.CMBuilder;127;6;4;0.8438;1;28.0;49
org.apache.xerces.impl.io.UTF8Reader;379;11;6;0.8472;0;0.0;84
org.apache.xerces.dom.DeferredDocumentImpl;1198;69;23;0.8904;0;14.0;246
org.apache.xerces.impl.XMLNamespaceBinder;267;23;16;0.8938;1;10.0;112
org.apache.xerces.jaxp.validation.JAXPValidationMessageFormatter;0;0;0;0;0;0;0
org.apache.xerces.impl.dtd.XMLSimpleType;42;3;20;0.9000;0;0.0;7
org.apache.xerces.impl.xs.opti.DefaultText;0;0;0;0;0;0;0
org.apache.xerces.impl.XML11DocumentScannerImpl;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.models.XSDFACM;319;11;17;0.8930;0;21.0;96
org.apache.xerces.impl.dv.xs.DecimalDV;61;6;0;0.0000;0;10.0;28
org.apache.xerces.util.XMLChar;115;21;9;0.9611;0;0.0;60
org.apache.xerces.jaxp.validation.DOMResultBuilder;0;0;0;0;0;0;0
org.apache.xerces.impl.XML11DTDScannerImpl;0;0;0;0;0;0;0
org.apache.wml.WMLGoElement;8;8;0;0.0000;0;0.0;8
org.apache.html.dom.HTMLFontElementImpl;21;6;0;0.0000;0;0.0;7
org.apache.xerces.impl.xs.traversers.XSDElementTraverser;205;5;3;1.0667;2;62.0;68
org.apache.xerces.impl.dv.xs.SchemaDVFactoryImpl;205;6;3;0.7222;1;44.0;10
org.apache.wml.WMLEmElement;2;2;0;0.0000;0;0.0;2
org.apache.xerces.dom.events.MutationEventImpl;23;1;12;1.0333;0;0.0;6
org.apache.xerces.xni.grammars.XMLGrammarLoader;13;13;0;0.0000;0;0.0;13
org.apache.xerces.dom.CDATASectionImpl;9;2;1;1.5000;0;1.0;3
org.apache.xerces.xni.XMLDocumentHandler;18;18;0;0.0000;0;0.0;18
org.apache.xerces.util.ErrorHandlerProxy;0;0;0;0;0;0;0
org.apache.html.dom.HTMLQuoteElementImpl;9;2;0;0.0000;0;0.0;3
org.apache.xerces.dom.DOMStringListImpl;0;0;0;0;0;0;0
org.apache.xerces.impl.dv.xs.DateTimeDV;21;2;0;0.0000;0;0.0;5
org.apache.xerces.impl.xs.util.ShortListImpl;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSAttributeUseImpl;27;6;4;0.8571;1;5.0;9
org.apache.xml.serialize.XHTMLSerializer;17;1;0;0.0000;0;1.0;9
org.apache.xerces.xs.datatypes.ByteList;0;0;0;0;0;0;0
org.apache.wml.dom.WMLDoElementImpl;45;14;0;0.0000;0;0.0;15
org.apache.xerces.impl.validation.ValidationState;82;10;9;0.8765;0;0.0;25
org.apache.xerces.impl.xs.AttributePSVImpl;48;4;9;0.8889;0;3.0;14
org.apache.wml.WMLImgElement;18;18;0;0.0000;0;0.0;18
org.apache.xerces.util.ShadowedSymbolTable;21;4;1;0.0000;0;0.0;7
org.apache.xerces.util.DOMInputSource;0;0;0;0;0;0;0
org.apache.html.dom.HTMLFieldSetElementImpl;3;0;0;0.0000;0;0.0;1
org.apache.xerces.xpointer.XPointerHandler;0;0;0;0;0;0;0
org.apache.xerces.parsers.NonValidatingConfiguration;230;15;32;0.9934;1;18.0;67
org.apache.xerces.xni.NamespaceContext;4;4;2;1.3333;0;0.0;4
org.apache.xerces.xs.XSTypeDefinition;7;7;2;1.1667;0;0.0;7
org.apache.xerces.util.XMLSymbols;0;0;0;0;0;0;0
