Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.xerces.impl.xs.traversers.SchemaContentHandler.fillQName(QName, String, String, String);org.apache.xerces.util.SymbolTable;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.parsers.AbstractSAXParser.setLexicalHandler(LexicalHandler);org.apache.xerces.util.SAXMessageFormatter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.XMLDocumentScannerImpl.startEntity(String, XMLResourceIdentifier, String, Augmentations);org.apache.xerces.impl.XMLEntityScanner;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.html.dom.HTMLMapElementImpl.getAreas();org.apache.html.dom.HTMLCollectionImpl;1;0;1;0.7500;13;3;1;0;1;1.0000;120;8;13
org.apache.xerces.jaxp.TeeXMLDocumentFilterImpl.endElement(QName, Augmentations);org.apache.xerces.xni.XMLDocumentHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.dtd.XMLDTDProcessor.notationDecl(String, XMLResourceIdentifier, Augmentations);org.apache.xerces.xni.XMLDTDHandler;0;0;2;0.9710;499;43;37;1;0;0.9600;22;22;2
org.apache.xerces.impl.dtd.XMLDTDValidator.getAttributeTypeName(XMLAttributeDecl);org.apache.xerces.util.SymbolTable;3;0;1;0.9894;801;42;63;1;0;0.9333;84;6;3
org.apache.xerces.impl.dtd.XMLDTDProcessor.unparsedEntityDecl(String, XMLResourceIdentifier, String, Augmentations);org.apache.xerces.impl.dtd.DTDGrammar;0;0;4;0.9420;499;43;37;1;0;0.9935;1257;90;75
org.apache.xerces.parsers.AbstractSAXParser.setFeature(String, boolean);org.apache.xerces.xni.parser.XMLParserConfiguration;2;0;2;0.9667;611;44;22;1;0;0.9565;19;19;0
org.apache.xerces.jaxp.UnparsedEntityHandler.ignoredCharacters(XMLString, Augmentations);org.apache.xerces.xni.XMLDTDHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XMLSchemaValidator.handleEndElement(QName, Augmentations);org.apache.xerces.xni.grammars.XMLGrammarDescription;6;4;41;0.6944;1259;51;103;0;1;1.0000;1;1;2
org.apache.xerces.parsers.XML11DTDConfiguration.checkProperty(String);org.apache.xerces.impl.Constants;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDComplexTypeTraverser.getErrorWildcard();org.apache.xerces.impl.xs.XSWildcardDecl;2;0;0;1.0000;482;16;17;0;1;0.9524;254;17;5
org.apache.xerces.impl.dtd.DTDGrammar.getContentSpec(int, XMLContentSpec);org.apache.xerces.impl.dtd.XMLContentSpec;1;0;6;0.9737;1257;90;75;0;3;0.8235;42;6;18
org.apache.xerces.dom.RangeImpl.selectNodeContents(Node);org.apache.xerces.dom.DOMMessageFormatter;4;1;5;0.9016;878;50;14;1;1;1.0000;28;1;2
org.apache.xerces.parsers.XML11DTDConfiguration.configurePipeline();org.apache.xerces.impl.XMLNSDocumentScannerImpl;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.dtd.XMLDTDProcessor.externalEntityDecl(String, XMLResourceIdentifier, Augmentations);org.apache.xerces.impl.dtd.DTDGrammarBucket;1;0;3;0.9577;499;43;37;0;1;0.9231;27;3;3
org.apache.xerces.impl.xs.opti.SchemaDOMParser.processingInstruction(String, XMLString, Augmentations);org.apache.xerces.xni.XMLString;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.jaxp.validation.DOMResultAugmentor.startElement(QName, XMLAttributes, Augmentations);org.apache.xerces.xni.QName;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XSLoaderImpl.getParameter(String);org.apache.xerces.impl.xs.XMLSchemaLoader;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XMLSchemaValidator.processOneAttribute(QName, XMLAttributes, int, XSAttributeDecl, XSAttributeUseImpl, AttributePSVImpl);org.apache.xerces.impl.xs.XSAttributeUseImpl;10;1;8;0.9423;1259;51;103;0;2;0.9592;30;7;4
org.apache.xerces.impl.xpath.regex.REUtil.getOptionValue(int);org.apache.xerces.impl.xpath.regex.RegularExpression;1;0;0;1.0000;245;15;2;0;10;1.0000;1863;47;32
org.apache.xerces.impl.XMLEntityManager.ScannedEntity.getLiteralSystemId();org.apache.xerces.impl.XMLEntityManager;1;0;1;0.9524;68;7;12;0;1;0.9828;835;34;55
org.apache.xerces.jaxp.datatype.DurationImpl.testNonNegative(BigDecimal, DatatypeConstants.Field);org.apache.xerces.util.DatatypeMessageFormatter;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.dom.NamedNodeMapImpl.setReadOnly(boolean, boolean);org.apache.xerces.dom.NodeImpl;0;1;1;0.9333;253;27;7;1;0;0.9880;595;78;21
org.apache.xerces.impl.XML11EntityScanner.scanName();org.apache.xerces.util.XMLChar;1;0;0;1.0000;556;11;0;0;0;1.0000;115;21;9
org.apache.xerces.impl.xs.traversers.XSDAttributeTraverser.traverseNamedAttr(Element, Object[], XSDocumentInfo, SchemaGrammar, boolean, XSComplexTypeDecl);org.apache.xerces.util.SymbolTable;13;1;0;0.9630;208;5;0;1;0;0.9688;84;6;3
org.apache.xerces.impl.xs.XMLSchemaValidator.handleEndElement(QName, Augmentations);org.apache.xerces.impl.xs.XSConstraints;6;4;41;0.6944;1259;51;103;1;0;1.0000;713;30;2
org.apache.xerces.xinclude.XIncludeHandler.characters(XMLString, Augmentations);org.apache.xerces.xni.XMLDocumentHandler;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.XMLSchemaValidator.reportSchemaError(String, Object[]);org.apache.xerces.impl.xs.XSMessageFormatter;2;0;2;0.9841;1259;51;103;0;1;1.0000;24;1;3
org.apache.xerces.parsers.DOMParserImpl.setParameter(String, Object);org.apache.xerces.impl.Constants;4;0;9;0.8571;386;11;12;0;24;1.0000;34;6;99
org.apache.xerces.parsers.XMLGrammarPreparser.getFeature(String, String);org.apache.xerces.xni.grammars.XMLGrammarLoader;0;0;1;0.9412;107;9;14;1;0;0.9286;13;13;0
org.apache.xml.serialize.XMLSerializer.printAttribute(String, String, boolean, Attr);org.apache.xml.serialize.DOMSerializerImpl;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.xerces.impl.xs.traversers.XSDHandler.resolveSchema(XSDDescription, boolean, Element);org.apache.xerces.util.DOMInputSource;0;0;0;0;0;0;0;0;0;0;0;0;0
