Method;Class;FDP;NIM_D;NAA_D;DISTANCE_D;LOC_D;NMD_D;NAD_D;NIM_E;NAA_E;DISTANCE_E;LOC_E;NMD_E;NAD_E
org.apache.lucene.search.IndexSearcher.search(Query, Filter, int, Sort);org.apache.lucene.search.Scorer;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.FieldCacheImpl.getAuto(IndexReader, String);org.apache.lucene.index.TermEnum;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.PhraseScorer.score();org.apache.lucene.search.PhrasePositions;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.MultiSearcher.search(Query, Filter, int);org.apache.lucene.util.PriorityQueue;3;0;2;0.9000;86;10;3;2;1;0.8421;79;10;3
org.apache.lucene.index.IndexWriter.deleteFiles(Vector, Vector);org.apache.lucene.store.Directory;0;0;2;0.9394;217;17;16;2;0;0.8462;11;11;0
org.apache.lucene.index.DocumentWriter.writeNorms(Document, String);org.apache.lucene.search.Similarity;1;0;5;0.7826;173;7;9;2;0;0.9524;54;15;2
org.apache.lucene.search.BooleanScorer.next();org.apache.lucene.search.HitCollector;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.FieldSortedHitQueue.getCachedComparator(IndexReader, String, int, Locale, SortComparatorSource);org.apache.lucene.search.SortField;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.FieldSortedHitQueue.fillFields(FieldDoc);org.apache.lucene.search.FieldDoc;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.DocumentWriter.addDocument(String, Document);org.apache.lucene.index.FieldsWriter;1;4;5;0.5714;173;7;9;2;0;0.8947;30;2;3
org.apache.lucene.index.SegmentMerger.mergeTerms();org.apache.lucene.store.OutputStream;0;1;7;0.6667;185;10;11;1;0;0.9643;69;14;4
org.apache.lucene.search.MultiSearcherThread.run();org.apache.lucene.search.Searchable;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.analysis.standard.StandardFilter.next();org.apache.lucene.analysis.Token;1;0;2;1.0000;23;1;2;0;4;0.6000;30;1;5
org.apache.lucene.search.MultiSearcher.doc(int);org.apache.lucene.search.Searchable;0;1;2;0.7857;86;10;3;1;0;0.9091;8;8;0
org.apache.lucene.search.spans.SpanScorer.skipTo(int);org.apache.lucene.search.spans.Spans;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.TermQuery.TermWeight.explain(IndexReader, int);org.apache.lucene.search.Scorer;3;2;3;0.7222;53;5;5;1;0;0.9375;8;2;1
org.apache.lucene.index.SegmentReader.norms(String, byte[], int);org.apache.lucene.store.InputStream;0;2;0;0.9429;175;23;11;2;0;0.9130;101;15;7
org.apache.lucene.search.spans.SpanScorer.explain(int);org.apache.lucene.search.Similarity;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.SegmentReader.usesCompoundFile(SegmentInfo);org.apache.lucene.store.Directory;1;0;0;1.0000;175;23;11;1;0;0.9231;11;11;0
org.apache.lucene.index.MultiTermDocs.termDocs(int);org.apache.lucene.index.TermDocs;0;1;3;0.7778;75;10;7;0;0;1.0000;8;8;0
org.apache.lucene.index.SegmentTermDocs.read(int[], int[]);org.apache.lucene.util.BitVector;0;0;5;0.6875;73;8;6;1;0;0.9375;50;5;4
org.apache.lucene.queryParser.QueryParser.getFieldQuery(String, Analyzer, String);org.apache.lucene.search.PhraseQuery;2;0;1;0.9839;745;32;36;1;1;0.8667;55;6;3
org.apache.lucene.index.SegmentReader.hasDeletions(SegmentInfo);org.apache.lucene.store.Directory;1;0;0;1.0000;175;23;11;1;0;0.9231;11;11;0
org.apache.lucene.index.SegmentMerger.mergeTermInfo(SegmentMergeInfo[], int);org.apache.lucene.index.SegmentMergeInfo;1;1;4;0.7917;185;10;11;0;1;0.9412;30;2;6
org.apache.lucene.index.MultipleTermPositions.skipTo(int);org.apache.lucene.util.PriorityQueue;0;1;1;0.8824;54;7;4;2;0;0.8947;79;10;3
org.apache.lucene.search.MultiSearcher.search(Query, Filter, int);org.apache.lucene.search.Searchable;3;0;2;0.9000;86;10;3;1;0;0.9375;8;8;0
org.apache.lucene.queryParser.QueryParser.getFieldQuery(String, Analyzer, String);org.apache.lucene.analysis.TokenStream;2;0;1;0.9839;745;32;36;2;0;0.7143;3;2;0
org.apache.lucene.index.TermVectorsReader.checkValidFormat(InputStream);org.apache.lucene.store.InputStream;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.SegmentMerger.appendPostings(SegmentMergeInfo[], int);org.apache.lucene.store.OutputStream;1;0;2;0.9333;185;10;11;1;0;0.9643;69;14;4
org.apache.lucene.queryParser.QueryParser.jj_scan_token(int);org.apache.lucene.queryParser.Token;1;1;7;0.8644;745;32;36;0;2;0.8824;9;1;8
org.apache.lucene.search.FieldCacheImpl.getFloats(IndexReader, String);org.apache.lucene.search.SortField;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.search.RemoteSearchable.explain(Query, int);org.apache.lucene.search.Searchable;0;0;1;0.9000;36;9;1;1;0;0.8889;8;8;0
org.apache.lucene.index.MultiTermDocs.seek(TermEnum);org.apache.lucene.index.TermEnum;0;1;0;0.9444;75;10;7;1;0;0.8000;4;4;0
org.apache.lucene.index.SegmentMerger.createCompoundFile();org.apache.lucene.index.CompoundFileWriter;1;0;4;0.8846;185;10;11;2;0;0.8750;85;3;5
org.apache.lucene.index.SegmentMerger.mergeTerms();org.apache.lucene.index.TermInfosWriter;0;1;7;0.6667;185;10;11;1;0;0.9600;52;5;9
org.apache.lucene.index.SegmentTermPositions.seek(TermInfo);org.apache.lucene.store.InputStream;1;0;2;0.8333;32;6;3;1;0;0.9600;101;15;7
org.apache.lucene.search.FieldCacheImpl.getStringIndex(IndexReader, String);org.apache.lucene.index.IndexReader;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.IndexReader.isLocked(Directory);org.apache.lucene.store.Directory;1;0;0;1.0000;130;34;3;1;0;0.9167;11;11;0
org.apache.lucene.index.FieldInfos.write(Directory, String);org.apache.lucene.store.Directory;0;1;0;0.9412;73;12;2;1;0;0.9231;11;11;0
org.apache.lucene.store.RAMOutputStream.reset();org.apache.lucene.store.RAMFile;0;0;0;0;0;0;0;0;0;0;0;0;0
org.apache.lucene.index.SegmentReader.usesCompoundFile(SegmentInfo);org.apache.lucene.index.SegmentInfo;1;0;0;1.0000;175;23;11;0;2;0.6000;5;0;3
